title_supplier,artist,title_norm,author_norm,title_ref,author,author_norm_supplier,author_norm_ref,provider,file
Morena,Vitor Kley,morena,,MORENA,T-312.550.698-7,vitor kley,t-312.550.698-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Se,Dani Black,se,,SE,T-306.925.949-6,dani black,t-306.925.949-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Mais Uma Vez,"Jota Quest,Maria Gadú",mais uma vez,,MAIS UMA VEZ,T-330.191.320-8,"jota quest,maria gadu",t-330.191.320-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Carcará,Otto,carcara,,CARCARA,T-040.347.911-7,otto,t-040.347.911-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Carcará,Otto,carcara,,CARCARÁ,T-308.468.519-4,otto,t-308.468.519-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Se,Dani Black,se,,SE,T-306.925.949-6,dani black,t-306.925.949-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Linha De Frente,Cpm 22,linha de frente,,LINHA DE FRENTE,T-308.636.270-7,cpm 22,t-308.636.270-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Carcará,Otto,carcara,,CARCARA,T-040.347.911-7,otto,t-040.347.911-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Carcará,Otto,carcara,,CARCARÁ,T-308.468.519-4,otto,t-308.468.519-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Namora Comigo,Moska,namora comigo,,NAMORA COMIGO,T-317.623.017-0,moska,t-317.623.017-0,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Trevo,Anavitória,trevo,,TREVO,T-335.572.092-8,anavitoria,t-335.572.092-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Jovem,Julio Secchin,jovem,,JOVEM,T-333.655.332-9,julio secchin,t-333.655.332-9,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Linha De Frente,Cpm 22,linha de frente,,LINHA DE FRENTE,T-308.636.270-7,cpm 22,t-308.636.270-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Namora Comigo,Moska,namora comigo,,NAMORA COMIGO,T-317.623.017-0,moska,t-317.623.017-0,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Trevo,Anavitória,trevo,,TREVO,T-335.572.092-8,anavitoria,t-335.572.092-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sol,Bebé Salvego,sol,,SOL,,bebe salvego,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Linha De Frente,Cpm 22,linha de frente,,LINHA DE FRENTE,T-308.636.270-7,cpm 22,t-308.636.270-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Caos,Titãs,caos,,CAOS,T-039.593.535-9,titas,t-039.593.535-9,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Caos,Titãs,caos,,CAOS,T-322.966.870-2,titas,t-322.966.870-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Caos,Titãs,caos,,CAOS,T-335.571.856-4,titas,t-335.571.856-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vôo,Lucy Alves,voo,,VOO,T-301.721.471-6,lucy alves,t-301.721.471-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Se,Dani Black,se,,SE,T-306.925.949-6,dani black,t-306.925.949-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Trevo,Anavitória,trevo,,TREVO,T-335.572.092-8,anavitoria,t-335.572.092-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vôo,Lucy Alves,voo,,VOO,T-301.721.471-6,lucy alves,t-301.721.471-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Jovem,Julio Secchin,jovem,,JOVEM,T-333.655.332-9,julio secchin,t-333.655.332-9,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
